app,acc,enrol,ftime,ptime,instate,outstate,rbcost,bkcost,phd,sfratio,expend,grad,top10
403,404.0,400.0,169.0,797.0,100.0,6000.0,6000.0,3000.0,500.0,48.0,13.4,5557.0,61.0,28.0
404,759.0,729.0,244.0,867.0,51.0,10900.0,10900.0,4450.0,500.0,81.0,12.1,10219.0,70.0,57.0
405,484.0,384.0,177.0,634.0,78.0,7800.0,7800.0,2950.0,500.0,60.0,14.1,6864.0,64.0,9.0
411,495.0,434.0,210.0,775.0,44.0,8950.0,8950.0,3490.0,600.0,86.0,11.3,9685.0,66.0,35.0
412,1998.0,1376.0,651.0,1539.0,45.0,6700.0,6700.0,3650.0,500.0,52.0,14.1,7566.0,61.0,41.0
414,4847.0,3518.0,1900.0,6567.0,261.0,1044.0,1044.0,1306.0,500.0,46.0,24.6,5034.0,58.0,27.0
415,2013.0,1053.0,212.0,912.0,158.0,5150.0,5150.0,3036.0,500.0,64.0,10.5,7547.0,59.0,33.0
416,2397.0,2144.0,1525.0,6720.0,1822.0,2262.0,3957.0,2325.0,618.0,66.0,20.0,4546.0,45.0,22.0
417,5996.0,4993.0,3079.0,16269.0,3757.0,2625.0,5925.0,2980.0,600.0,83.0,15.9,6741.0,37.0,29.0
420,1891.0,1698.0,719.0,2740.0,761.0,11100.0,11100.0,5870.0,600.0,77.0,11.7,9456.0,53.0,24.0
427,7033.0,5125.0,1223.0,4941.0,1534.0,19040.0,19040.0,5950.0,350.0,98.0,9.1,16920.0,74.0,47.0
429,2097.0,1915.0,695.0,2793.0,166.0,6900.0,6900.0,4200.0,617.0,67.0,14.4,8323.0,49.0,34.0
430,2431.0,2416.0,1711.0,7534.0,775.0,2028.0,3950.0,2982.0,600.0,50.0,15.9,5244.0,33.0,37.0
431,1420.0,1093.0,220.0,1018.0,287.0,8700.0,8700.0,4780.0,450.0,78.0,14.7,7355.0,69.0,9.0
433,350.0,283.0,82.0,367.0,406.0,10800.0,10800.0,4835.0,500.0,45.0,11.7,5982.0,82.0,9.0
434,2135.0,1700.0,491.0,1708.0,689.0,12000.0,12000.0,5920.0,500.0,93.0,13.8,7100.0,88.0,23.0
435,1981.0,1541.0,514.0,1927.0,1084.0,12500.0,12500.0,6200.0,375.0,73.0,16.8,8707.0,80.0,18.0
437,3466.0,2330.0,640.0,3095.0,1533.0,13800.0,13800.0,5510.0,630.0,87.0,17.5,10941.0,82.0,20.0
441,443.0,330.0,151.0,453.0,42.0,14080.0,14080.0,6270.0,500.0,57.0,10.2,15387.0,46.0,5.0
442,4186.0,2743.0,740.0,2819.0,62.0,19380.0,19380.0,6750.0,410.0,90.0,9.8,17150.0,84.0,48.0
443,2887.0,2059.0,457.0,1928.0,296.0,17500.0,17500.0,4200.0,500.0,94.0,10.5,11951.0,79.0,30.0
444,245.0,208.0,125.0,544.0,436.0,11800.0,11800.0,4765.0,450.0,71.0,11.3,8952.0,86.0,23.0
445,2994.0,1691.0,659.0,2675.0,22.0,18000.0,18000.0,6300.0,400.0,92.0,11.3,12138.0,95.0,70.0
446,1224.0,936.0,283.0,891.0,332.0,13600.0,13600.0,5450.0,600.0,39.0,8.7,11992.0,58.0,5.0
447,516.0,409.0,200.0,1238.0,30.0,8770.0,8770.0,3500.0,450.0,58.0,17.3,6430.0,70.0,17.0
450,674.0,565.0,282.0,1151.0,39.0,12200.0,12200.0,4070.0,400.0,73.0,14.2,9226.0,66.0,25.0
453,244.0,198.0,82.0,1134.0,336.0,11700.0,11700.0,5300.0,550.0,71.0,27.8,8694.0,58.0,12.0
454,3986.0,3026.0,1093.0,5740.0,4182.0,4694.0,9838.0,4164.0,500.0,81.0,16.1,7607.0,53.0,8.0
456,4915.0,3340.0,1064.0,5356.0,1502.0,1408.0,5542.0,3991.0,500.0,73.0,17.1,4666.0,51.0,4.0
459,1563.0,1005.0,240.0,1380.0,136.0,1408.0,5542.0,4330.0,500.0,65.0,14.2,6562.0,57.0,1.0
461,3100.0,2150.0,825.0,3234.0,941.0,1408.0,5542.0,3788.0,500.0,75.0,15.7,4222.0,65.0,3.0
462,2197.0,1515.0,543.0,3089.0,2029.0,2663.0,6797.0,3900.0,500.0,60.0,21.0,4469.0,40.0,4.0
463,1800.0,1314.0,526.0,1891.0,40.0,19300.0,19300.0,5700.0,750.0,79.0,9.0,18359.0,84.0,47.0
468,427.0,385.0,143.0,581.0,533.0,12700.0,12700.0,5800.0,450.0,81.0,10.3,11758.0,84.0,18.0
469,1003.0,782.0,295.0,1144.0,160.0,16160.0,16160.0,6950.0,500.0,74.0,8.9,14086.0,79.0,23.0
470,2925.0,1598.0,632.0,2479.0,95.0,18820.0,18820.0,6390.0,500.0,85.0,10.3,21199.0,90.0,51.0
471,3347.0,2597.0,1006.0,4664.0,1630.0,1836.0,6919.0,4500.0,500.0,74.0,15.0,7462.0,56.0,10.0
473,3646.0,2300.0,585.0,2022.0,926.0,12170.0,12170.0,6172.0,480.0,79.0,13.0,7495.0,97.0,25.0
479,1650.0,1471.0,409.0,1803.0,1116.0,8994.0,8994.0,5500.0,498.0,74.0,15.4,8409.0,59.0,7.0
480,1738.0,1373.0,417.0,1335.0,30.0,18460.0,18460.0,5970.0,700.0,92.0,13.2,22704.0,71.0,21.0
483,2768.0,2314.0,682.0,2802.0,86.0,15884.0,15884.0,5370.0,530.0,92.0,15.2,10774.0,82.0,49.0
489,457.0,356.0,177.0,667.0,1983.0,11180.0,11180.0,5620.0,600.0,64.0,11.5,7477.0,75.0,35.0
490,1301.0,957.0,101.0,514.0,466.0,9500.0,9500.0,3450.0,700.0,47.0,13.9,9431.0,63.0,13.0
493,1151.0,813.0,248.0,850.0,80.0,15588.0,15588.0,6174.0,500.0,78.0,9.2,16623.0,77.0,40.0
494,699.0,565.0,176.0,710.0,399.0,13960.0,13960.0,6040.0,450.0,82.0,14.4,12434.0,72.0,36.0
496,4076.0,3137.0,738.0,3010.0,184.0,12990.0,12990.0,6300.0,600.0,86.0,14.7,9448.0,80.0,25.0
497,5892.0,3034.0,1358.0,4517.0,745.0,1794.0,4136.0,4640.0,550.0,80.0,18.2,6867.0,29.0,20.0
498,1321.0,1159.0,328.0,1243.0,79.0,12850.0,12850.0,6200.0,550.0,77.0,12.8,8536.0,80.0,15.0
499,4216.0,2290.0,736.0,4296.0,1027.0,2328.0,5130.0,4690.0,600.0,73.0,17.9,5125.0,56.0,20.0
500,323.0,278.0,122.0,393.0,4.0,16150.0,16150.0,5450.0,275.0,63.0,7.2,15622.0,64.0,31.0
501,1340.0,695.0,285.0,1315.0,209.0,4000.0,6800.0,4730.0,675.0,84.0,11.6,10357.0,63.0,42.0
505,4269.0,2594.0,985.0,6476.0,2592.0,3338.0,8594.0,4408.0,494.0,82.0,18.4,7618.0,55.0,27.0
508,1209.0,942.0,214.0,822.0,46.0,15276.0,15276.0,5318.0,500.0,79.0,11.2,10830.0,65.0,31.0
509,1205.0,984.0,278.0,1071.0,98.0,14510.0,14510.0,5340.0,500.0,84.0,12.5,10026.0,60.0,31.0
510,461.0,381.0,235.0,974.0,503.0,2700.0,6600.0,3630.0,400.0,67.0,15.2,6408.0,35.0,10.0
513,2848.0,1319.0,456.0,1720.0,35.0,18930.0,18930.0,5590.0,500.0,83.0,10.2,15954.0,91.0,58.0
514,1208.0,803.0,438.0,1906.0,344.0,2790.0,6810.0,3970.0,450.0,67.0,15.9,5712.0,59.0,20.0
515,225.0,168.0,104.0,467.0,174.0,1968.0,4800.0,3395.0,500.0,65.0,15.0,5632.0,38.0,5.0
516,723.0,652.0,361.0,951.0,706.0,7800.0,7800.0,4000.0,350.0,36.0,22.0,4923.0,84.0,10.0
517,1209.0,750.0,265.0,820.0,159.0,11450.0,11450.0,5045.0,900.0,72.0,11.4,9718.0,64.0,19.0
518,833.0,682.0,217.0,716.0,2196.0,9985.0,9985.0,5180.0,500.0,53.0,27.2,4322.0,85.0,12.0
519,356.0,312.0,139.0,388.0,412.0,8850.0,8850.0,4450.0,600.0,29.0,21.8,5001.0,75.0,18.0
520,5260.0,4589.0,1741.0,7366.0,1795.0,3085.0,7975.0,4385.0,500.0,93.0,14.5,7379.0,56.0,23.0
521,441.0,369.0,172.0,633.0,317.0,2700.0,6600.0,3680.0,600.0,46.0,15.1,5935.0,64.0,17.0
524,1428.0,1097.0,336.0,1036.0,99.0,11250.0,11250.0,3750.0,400.0,53.0,12.9,8735.0,54.0,22.0
525,1899.0,1720.0,489.0,1594.0,32.0,13868.0,13868.0,4826.0,450.0,89.0,13.7,11487.0,73.0,37.0
526,1267.0,1080.0,385.0,1306.0,28.0,12572.0,12572.0,4552.0,400.0,79.0,15.3,9305.0,68.0,44.0
527,1130.0,704.0,322.0,1586.0,326.0,9996.0,9996.0,3090.0,900.0,62.0,11.5,10908.0,46.0,14.0
528,619.0,516.0,219.0,1251.0,767.0,11208.0,11208.0,4124.0,350.0,55.0,12.7,6584.0,65.0,20.0
529,1784.0,1512.0,913.0,3401.0,136.0,10230.0,10230.0,3710.0,400.0,75.0,14.8,7786.0,81.0,29.0
535,5165.0,3887.0,1561.0,8234.0,2619.0,2422.0,6108.0,3800.0,500.0,64.0,20.6,5063.0,57.0,20.0
536,920.0,745.0,347.0,1133.0,42.0,11090.0,11090.0,4700.0,400.0,80.0,12.0,12639.0,79.0,35.0
537,1712.0,1483.0,624.0,2505.0,208.0,12275.0,12275.0,4341.0,465.0,72.0,12.5,9284.0,72.0,37.0
539,867.0,695.0,312.0,2176.0,2063.0,6759.0,6759.0,2250.0,700.0,40.0,15.8,4727.0,45.0,28.0
540,440.0,391.0,231.0,1367.0,2662.0,5040.0,5040.0,4152.0,395.0,54.0,14.7,5518.0,57.0,13.0
543,2618.0,2288.0,1032.0,5524.0,414.0,3510.0,8127.0,3978.0,900.0,82.0,17.0,7473.0,65.0,42.0
544,1406.0,1169.0,522.0,2432.0,592.0,3312.0,6456.0,4186.0,500.0,47.0,19.9,4310.0,51.0,10.0
546,3041.0,2581.0,1173.0,6441.0,3982.0,3123.0,9114.0,4030.0,400.0,88.0,19.7,6637.0,53.0,16.0
549,464.0,419.0,183.0,686.0,287.0,9240.0,9240.0,3880.0,475.0,29.0,7.2,9431.0,47.0,10.0
550,372.0,362.0,181.0,1501.0,353.0,8600.0,8600.0,3550.0,385.0,48.0,15.4,10938.0,49.0,15.0
551,927.0,731.0,415.0,2149.0,2217.0,11130.0,11130.0,3996.0,600.0,72.0,13.5,10891.0,51.0,24.0
555,9167.0,7191.0,2738.0,15739.0,4278.0,2785.0,6940.0,4100.0,500.0,80.0,24.7,5983.0,55.0,24.0
560,662.0,513.0,257.0,2074.0,726.0,11902.0,11902.0,4372.0,540.0,65.0,12.8,7836.0,58.0,12.0
561,1208.0,877.0,546.0,3796.0,824.0,2133.0,4425.0,2700.0,660.0,57.0,19.6,3752.0,46.0,12.0
562,2694.0,1579.0,489.0,1870.0,12.0,19292.0,19292.0,3957.0,550.0,81.0,10.4,17960.0,91.0,75.0
563,938.0,864.0,511.0,1715.0,103.0,12247.0,12247.0,4221.0,500.0,70.0,13.1,8847.0,72.0,29.0
564,511.0,411.0,186.0,1692.0,562.0,12224.0,12224.0,4440.0,450.0,63.0,11.5,7315.0,77.0,23.0
565,672.0,596.0,278.0,1350.0,275.0,11844.0,11844.0,3696.0,450.0,54.0,11.6,8996.0,72.0,29.0
566,2057.0,1807.0,828.0,4106.0,982.0,11712.0,11712.0,4037.0,500.0,80.0,13.8,8546.0,89.0,26.0
568,281.0,266.0,139.0,1049.0,181.0,10500.0,10500.0,3750.0,450.0,69.0,12.8,6955.0,45.0,13.0
569,1709.0,1385.0,634.0,2281.0,50.0,14125.0,14125.0,3600.0,400.0,79.0,12.5,9907.0,80.0,36.0
570,1006.0,825.0,328.0,1362.0,102.0,13252.0,13252.0,4194.0,450.0,89.0,13.0,10296.0,65.0,34.0
571,2939.0,1496.0,452.0,1723.0,113.0,15909.0,15909.0,4772.0,500.0,85.0,11.9,14213.0,77.0,56.0
572,3073.0,2672.0,1547.0,9649.0,1792.0,2600.0,4300.0,2643.0,450.0,57.0,19.0,5801.0,68.0,9.0
573,2442.0,2164.0,1189.0,5983.0,1075.0,2134.0,4426.0,2664.0,600.0,76.0,18.1,4795.0,60.0,12.0
575,1047.0,938.0,511.0,2091.0,546.0,2285.0,4285.0,2750.0,600.0,58.0,16.5,6591.0,51.0,13.0
576,3971.0,3306.0,1921.0,11493.0,2206.0,2270.0,4259.0,2625.0,350.0,70.0,18.9,4629.0,58.0,10.0
577,933.0,800.0,444.0,1691.0,72.0,12247.0,12247.0,4081.0,500.0,76.0,12.0,9853.0,70.0,18.0
578,876.0,802.0,367.0,1263.0,118.0,10800.0,10800.0,3600.0,400.0,68.0,18.8,5081.0,78.0,14.0
579,2248.0,1673.0,745.0,2888.0,105.0,14350.0,14350.0,3750.0,550.0,82.0,10.0,12502.0,83.0,38.0
580,4192.0,3126.0,1656.0,5887.0,1254.0,2994.0,8828.0,3474.0,753.0,79.0,19.0,6393.0,53.0,15.0
581,1458.0,874.0,588.0,1846.0,154.0,3330.0,9843.0,3180.0,600.0,74.0,14.6,6716.0,51.0,56.0
582,3325.0,2047.0,1301.0,5800.0,872.0,2200.0,4200.0,2700.0,300.0,53.0,20.2,5318.0,58.0,20.0
585,373.0,298.0,86.0,651.0,490.0,8950.0,8950.0,3800.0,500.0,57.0,10.6,6639.0,54.0,14.0
586,633.0,504.0,210.0,920.0,148.0,7780.0,7780.0,3370.0,600.0,50.0,15.1,6850.0,49.0,11.0
587,4681.0,4101.0,1436.0,8094.0,1596.0,2310.0,4620.0,3288.0,300.0,69.0,19.7,5501.0,50.0,10.0
588,314.0,158.0,132.0,690.0,5346.0,8294.0,8294.0,3700.0,400.0,87.0,15.3,5015.0,37.0,10.0
589,1576.0,1110.0,274.0,992.0,112.0,8000.0,8000.0,3700.0,400.0,51.0,14.1,5807.0,51.0,24.0
590,700.0,650.0,314.0,1065.0,48.0,8730.0,8730.0,3523.0,500.0,82.0,13.2,9303.0,67.0,33.0
591,291.0,245.0,126.0,981.0,337.0,8390.0,8390.0,4100.0,350.0,45.0,21.5,4607.0,62.0,16.0
594,810.0,484.0,356.0,2155.0,191.0,9200.0,9200.0,4800.0,1000.0,65.0,24.1,3480.0,100.0,6.0
595,549.0,397.0,169.0,1343.0,1751.0,9250.0,9250.0,4550.0,425.0,52.0,13.1,5925.0,61.0,26.0
596,1576.0,1326.0,913.0,3689.0,2200.0,1920.0,3840.0,2852.0,200.0,52.0,20.3,4172.0,100.0,13.0
597,1310.0,983.0,316.0,1057.0,175.0,8550.0,8550.0,5050.0,400.0,35.0,17.4,4333.0,27.0,5.0
598,1887.0,1870.0,848.0,3615.0,1446.0,1998.0,3900.0,2611.0,500.0,54.0,19.0,4602.0,40.0,8.0
599,6040.0,4577.0,1620.0,5640.0,266.0,2704.0,4856.0,3416.0,400.0,69.0,15.7,6601.0,76.0,36.0
600,2729.0,2535.0,1257.0,4787.0,472.0,2130.0,3735.0,3136.0,250.0,62.0,21.7,5284.0,54.0,8.0
601,270.0,225.0,65.0,3440.0,4103.0,3750.0,3750.0,3900.0,700.0,39.0,18.4,3019.0,49.0,15.0
602,935.0,858.0,345.0,1127.0,754.0,9490.0,9490.0,4100.0,500.0,60.0,10.7,7519.0,79.0,22.0
604,2281.0,1870.0,1408.0,6553.0,1246.0,2550.0,4680.0,3540.0,200.0,75.0,17.1,5916.0,45.0,18.0
605,1093.0,1093.0,642.0,1770.0,967.0,7070.0,7070.0,2500.0,400.0,52.0,15.9,4718.0,71.0,12.0
606,6118.0,5254.0,3204.0,13131.0,3374.0,2370.0,4740.0,2590.0,500.0,70.0,19.9,4632.0,56.0,15.0
607,3294.0,2855.0,956.0,4576.0,1140.0,11690.0,11690.0,4730.0,800.0,84.0,4.6,18367.0,67.0,44.0
608,450.0,405.0,194.0,614.0,388.0,13900.0,13900.0,5200.0,450.0,46.0,10.9,9995.0,59.0,17.0
609,6574.0,4637.0,2940.0,14782.0,1583.0,3030.0,9057.0,3485.0,600.0,87.0,12.7,10145.0,58.0,32.0
610,1877.0,1826.0,823.0,3926.0,561.0,3030.0,9057.0,3600.0,700.0,88.0,14.4,9699.0,49.0,49.0
612,1618.0,1141.0,479.0,4793.0,4552.0,2424.0,7246.0,3964.0,500.0,71.0,13.4,6433.0,48.0,18.0
614,665.0,462.0,226.0,1739.0,1550.0,9160.0,9160.0,4340.0,500.0,68.0,20.6,6951.0,48.0,17.0
615,662.0,553.0,184.0,665.0,37.0,10720.0,10720.0,4050.0,600.0,66.0,12.5,7925.0,62.0,20.0
616,663.0,547.0,315.0,1279.0,75.0,10060.0,10060.0,2970.0,500.0,74.0,11.2,7885.0,59.0,32.0
617,469.0,435.0,227.0,851.0,120.0,10535.0,10535.0,4365.0,550.0,39.0,12.9,7438.0,52.0,17.0
623,967.0,945.0,459.0,2806.0,538.0,1812.0,4528.0,1880.0,500.0,49.0,17.1,5113.0,58.0,15.0
625,905.0,834.0,319.0,1073.0,179.0,11320.0,11320.0,4402.0,550.0,82.0,12.7,11218.0,58.0,32.0
626,594.0,385.0,307.0,1695.0,721.0,5580.0,5580.0,2830.0,600.0,77.0,16.5,6170.0,61.0,36.0
627,480.0,405.0,380.0,1673.0,1014.0,2244.0,4386.0,2217.0,600.0,49.0,15.8,5704.0,63.0,19.0
628,4255.0,3277.0,1609.0,10094.0,1621.0,4946.0,9866.0,3084.0,480.0,77.0,15.9,6223.0,53.0,18.0
629,2800.0,1090.0,580.0,2124.0,199.0,2164.0,4306.0,2100.0,275.0,43.0,18.6,4955.0,56.0,10.0
630,1328.0,673.0,282.0,1006.0,174.0,4000.0,4000.0,2048.0,225.0,44.0,19.6,5103.0,49.0,25.0
631,3280.0,578.0,311.0,1120.0,33.0,5010.0,5010.0,2570.0,500.0,53.0,14.5,6481.0,53.0,18.0
632,3844.0,3383.0,1669.0,7524.0,804.0,1996.0,4916.0,3810.0,600.0,81.0,20.3,6971.0,53.0,26.0
633,2850.0,2044.0,1046.0,9260.0,1387.0,2392.0,4652.0,2470.0,500.0,78.0,18.7,5917.0,45.0,20.0
635,529.0,492.0,261.0,1093.0,322.0,8650.0,8650.0,3815.0,390.0,49.0,14.1,5862.0,58.0,29.0
637,931.0,912.0,596.0,2482.0,868.0,2142.0,5866.0,3300.0,600.0,70.0,18.5,5105.0,40.0,7.0
638,572.0,544.0,320.0,1470.0,416.0,2013.0,6073.0,3400.0,550.0,71.0,16.4,6112.0,74.0,45.0
639,3500.0,2836.0,1779.0,8730.0,993.0,1576.0,5552.0,3710.0,550.0,75.0,17.6,6324.0,37.0,15.0
641,560.0,392.0,270.0,743.0,118.0,8734.0,8734.0,3362.0,600.0,56.0,11.3,6422.0,68.0,11.0
644,4809.0,3089.0,1429.0,6162.0,871.0,740.0,6806.0,1780.0,600.0,72.0,16.7,7090.0,44.0,12.0
645,7313.0,4664.0,1910.0,9940.0,1035.0,740.0,6806.0,2540.0,96.0,83.0,18.3,5854.0,70.0,20.0
646,1757.0,979.0,394.0,2033.0,1078.0,608.0,5972.0,3420.0,600.0,77.0,13.0,7011.0,37.0,32.0
647,771.0,643.0,229.0,1135.0,505.0,7420.0,7420.0,3440.0,500.0,55.0,13.7,5930.0,67.0,14.0
649,632.0,494.0,129.0,709.0,131.0,9000.0,9000.0,4850.0,300.0,78.0,13.2,7550.0,52.0,17.0
651,2087.0,1339.0,657.0,3191.0,1204.0,7550.0,7550.0,2790.0,600.0,77.0,21.8,3739.0,63.0,20.0
652,1083.0,880.0,291.0,915.0,80.0,9270.0,9270.0,4100.0,600.0,75.0,13.5,8425.0,55.0,13.0
653,2373.0,956.0,452.0,1601.0,6.0,17295.0,17295.0,5070.0,600.0,95.0,12.0,17581.0,94.0,77.0
655,9274.0,6362.0,2435.0,13171.0,1687.0,764.0,7248.0,3240.0,500.0,74.0,13.2,9002.0,58.0,14.0
656,1531.0,827.0,405.0,1630.0,143.0,556.0,5030.0,2648.0,170.0,68.0,14.1,8994.0,51.0,12.0
657,3624.0,2786.0,858.0,2933.0,334.0,9100.0,9100.0,3883.0,490.0,70.0,18.9,6329.0,63.0,11.0
658,1455.0,1064.0,452.0,2632.0,617.0,740.0,6806.0,2550.0,350.0,75.0,15.1,6972.0,24.0,1.0
659,1110.0,930.0,332.0,1603.0,374.0,8180.0,8180.0,4270.0,500.0,65.0,15.2,5664.0,29.0,18.0
660,608.0,494.0,176.0,649.0,314.0,8330.0,8330.0,3770.0,550.0,64.0,13.0,7949.0,39.0,10.0
661,1202.0,1054.0,326.0,1410.0,299.0,13404.0,13404.0,5160.0,450.0,78.0,15.6,9114.0,65.0,18.0
662,1412.0,1149.0,347.0,2045.0,359.0,7550.0,7550.0,4050.0,600.0,55.0,17.8,4947.0,62.0,11.0
665,979.0,743.0,259.0,1188.0,166.0,10100.0,10100.0,4000.0,400.0,88.0,12.0,8539.0,66.0,25.0
666,900.0,473.0,217.0,621.0,11.0,4400.0,4400.0,3400.0,800.0,53.0,10.4,9268.0,92.0,22.0
667,1056.0,873.0,385.0,1111.0,244.0,6950.0,6950.0,3550.0,600.0,60.0,11.9,6786.0,69.0,15.0
668,857.0,772.0,376.0,1721.0,470.0,6720.0,6720.0,3250.0,450.0,77.0,13.9,6881.0,82.0,25.0
670,263.0,223.0,103.0,316.0,20.0,8438.0,8438.0,3372.0,500.0,42.0,11.1,11989.0,15.0,10.0
672,812.0,689.0,195.0,646.0,84.0,8242.0,8242.0,4230.0,600.0,77.0,12.7,10090.0,52.0,7.0
673,944.0,774.0,440.0,2174.0,529.0,628.0,6360.0,2760.0,550.0,77.0,15.0,6443.0,48.0,14.0
674,838.0,651.0,159.0,654.0,162.0,8640.0,8640.0,3700.0,400.0,62.0,12.2,7634.0,48.0,11.0
675,516.0,392.0,154.0,630.0,549.0,11020.0,11020.0,4970.0,610.0,73.0,14.0,9315.0,58.0,32.0
676,335.0,284.0,132.0,534.0,216.0,10475.0,10475.0,6300.0,500.0,68.0,11.2,9599.0,60.0,28.0
682,5803.0,4441.0,1730.0,10099.0,3255.0,764.0,7248.0,3109.0,600.0,79.0,16.8,6227.0,62.0,19.0
683,5191.0,4134.0,1500.0,7532.0,1847.0,931.0,8677.0,3505.0,600.0,75.0,15.5,7392.0,53.0,15.0
685,440.0,311.0,112.0,466.0,7.0,10000.0,10000.0,3052.0,400.0,65.0,11.4,9430.0,63.0,25.0
686,3224.0,2519.0,1057.0,5000.0,706.0,718.0,6390.0,2380.0,110.0,67.0,14.6,6554.0,55.0,11.0
687,6071.0,3856.0,1449.0,6635.0,1145.0,1492.0,7558.0,3680.0,500.0,82.0,19.1,6005.0,55.0,15.0
688,1239.0,1017.0,383.0,1207.0,157.0,7820.0,7820.0,3400.0,550.0,69.0,13.9,7264.0,91.0,10.0
690,434.0,412.0,319.0,1376.0,237.0,1681.0,4486.0,2146.0,600.0,50.0,16.5,4525.0,46.0,10.0
691,472.0,410.0,262.0,9950.0,71.0,7620.0,7620.0,3050.0,400.0,51.0,17.0,3186.0,54.0,14.0
692,659.0,601.0,342.0,1476.0,282.0,6490.0,6490.0,2660.0,500.0,26.0,18.0,4460.0,48.0,12.0
693,233.0,233.0,153.0,658.0,58.0,1680.0,4486.0,2516.0,600.0,68.0,15.7,6971.0,51.0,5.0
695,2777.0,2249.0,1652.0,8334.0,1435.0,2110.0,5634.0,2703.0,450.0,97.0,15.9,9424.0,49.0,20.0
696,368.0,344.0,212.0,863.0,189.0,1606.0,4286.0,2570.0,600.0,39.0,14.9,4958.0,40.0,5.0
697,2968.0,2297.0,1610.0,7368.0,1128.0,2310.0,5834.0,2744.0,600.0,79.0,17.0,6310.0,42.0,13.0
698,1024.0,1024.0,547.0,1830.0,490.0,1575.0,2670.0,2668.0,500.0,62.0,25.0,4895.0,80.0,5.0
699,305.0,230.0,107.0,503.0,801.0,9000.0,9000.0,3500.0,400.0,23.0,8.9,6696.0,47.0,16.0
700,440.0,434.0,252.0,764.0,38.0,7896.0,7896.0,3270.0,450.0,54.0,11.1,7589.0,80.0,22.0
701,2967.0,2836.0,876.0,3450.0,644.0,10628.0,10628.0,4372.0,650.0,85.0,6.5,22906.0,85.0,30.0
702,504.0,482.0,185.0,550.0,84.0,9130.0,9130.0,3322.0,450.0,46.0,12.6,8686.0,54.0,10.0
703,793.0,709.0,244.0,1022.0,411.0,9570.0,9570.0,3000.0,400.0,67.0,15.1,6852.0,60.0,20.0
704,817.0,708.0,262.0,935.0,37.0,9376.0,9376.0,3272.0,500.0,57.0,13.0,7335.0,52.0,22.0
709,701.0,501.0,458.0,959.0,457.0,1432.0,2580.0,2624.0,500.0,48.0,20.1,4870.0,44.0,10.0
711,6277.0,6003.0,3526.0,16454.0,3171.0,2055.0,5595.0,3145.0,500.0,86.0,15.1,6813.0,53.0,33.0
712,1373.0,1373.0,724.0,2754.0,474.0,1500.0,2700.0,2660.0,540.0,60.0,20.3,4550.0,52.0,6.0
716,5187.0,4471.0,446.0,1818.0,1197.0,13320.0,13320.0,4630.0,500.0,50.0,17.6,6418.0,51.0,3.0
719,379.0,324.0,107.0,500.0,311.0,9990.0,9990.0,4900.0,400.0,44.0,12.1,4948.0,33.0,15.0
720,484.0,386.0,141.0,590.0,1196.0,9870.0,9870.0,4860.0,600.0,59.0,12.2,6744.0,81.0,6.0
721,2095.0,1553.0,514.0,1873.0,94.0,12950.0,12950.0,5400.0,450.0,70.0,14.5,6719.0,97.0,15.0
722,9750.0,7640.0,2529.0,10358.0,1338.0,3550.0,11180.0,3862.0,650.0,89.0,17.5,7855.0,75.0,24.0
723,3121.0,2446.0,822.0,3480.0,776.0,2590.0,7870.0,4157.0,500.0,73.0,16.1,6195.0,61.0,5.0
725,585.0,508.0,153.0,460.0,536.0,12292.0,12292.0,4934.0,500.0,61.0,22.2,8643.0,72.0,12.0
728,1011.0,604.0,213.0,693.0,868.0,8900.0,8900.0,4600.0,425.0,87.0,13.9,7922.0,55.0,17.0
729,369.0,312.0,90.0,396.0,526.0,11400.0,11400.0,5400.0,500.0,41.0,9.5,9583.0,24.0,12.0
730,444.0,359.0,122.0,493.0,968.0,10900.0,10900.0,5250.0,380.0,68.0,11.4,9447.0,78.0,34.0
731,2153.0,1580.0,321.0,1192.0,87.0,18432.0,18432.0,5616.0,520.0,93.0,10.2,14907.0,83.0,56.0
732,348.0,281.0,127.0,1095.0,785.0,9150.0,9150.0,3950.0,500.0,56.0,12.2,7348.0,76.0,12.0
733,3820.0,1431.0,695.0,5303.0,3942.0,2342.0,4356.0,4830.0,800.0,76.0,22.1,7252.0,51.0,21.0
735,2957.0,1423.0,691.0,3817.0,1394.0,2798.0,3946.0,4800.0,400.0,63.0,14.9,8367.0,26.0,10.0
736,2707.0,1881.0,478.0,1893.0,847.0,12480.0,12480.0,5290.0,530.0,70.0,14.2,9492.0,54.0,14.0
737,5220.0,2128.0,865.0,6411.0,3186.0,2400.0,3648.0,4834.0,700.0,82.0,21.5,6717.0,58.0,19.0
738,1879.0,1216.0,483.0,3311.0,1646.0,4188.0,8832.0,5376.0,700.0,92.0,13.5,12529.0,72.0,27.0
739,3344.0,2322.0,1105.0,6804.0,3933.0,1965.0,2875.0,3840.0,600.0,76.0,17.2,6001.0,40.0,6.0
740,5485.0,2662.0,1108.0,5938.0,2298.0,2385.0,3135.0,4170.0,300.0,77.0,23.5,6391.0,38.0,9.0
742,3586.0,2424.0,730.0,2748.0,1309.0,13250.0,13250.0,5420.0,700.0,84.0,12.3,11299.0,70.0,16.0
743,5785.0,2690.0,499.0,4005.0,1886.0,3640.0,7410.0,4748.0,690.0,90.0,17.4,11878.0,58.0,26.0
744,4576.0,3565.0,1000.0,4384.0,1530.0,12000.0,12000.0,6484.0,650.0,81.0,14.4,10080.0,64.0,16.0
