app,acc,enrol,ftime,ptime,instate,outstate,rbcost,bkcost,phd,sfratio,expend,grad,top10
331,331,225,1100,166,6840,6840,3720,1100,33,15.4,5524,49,15
632,620,222,702,501,9550,9550,3850,350,64,14.1,5922,58,14
1174,607,289,555,24, ,3800,2480,500,56,19.4,6616,31,20
643,509,280,1110,39,8988,8988,2764,500,61,12.1,7741, ,26
807,707,308,1198,605,8840,8840,2950,750,74,13.1,6668,84,39
1836,599,455,1540,51, , ,2835,450,77,13.2,11719,57,35
307,260,99,452,249,7500,7500,3200,650,49,10.1,6554,56,17
848,587,298,935,184,6060,6060,3070,600,62,17.7,5391,49,25
283,201,97,589,263,8400,8400,2800,600,50,10.6,6860,89,10
1013,888,288,943,7,11850,11850,4270,600,95,11.4,13118,74,55
995,789,398,1306,122,6230,6230,3526,400,42,13,8189,63,26
5443,5135,2445,11208,3350,1700,4700,3196,600,82,19.8,5394,39, 
727,693,286,1063,48,8000,8100,3950,550,73,13.3,7508,55,30
1636,952,424,1544,896,1340,4120,2682,510,60,15,8372,19,6
584,497,175,662,121,8000,8000,4150,500,57,11.3,7058,62,20
1089,865,382,1006,164,6600,6600,3550,400,32,19.3,5067, , 
2825,2495,1300,6311,975,1580,4740,2950,500,58,19.9,5175,52, 
2225,1910,1190,5968,955,1580,4738,3110,700,72,20.2,5972,52,29
404,400,169,797,100,6000,6000,3000,500,48,13.4,5557,61,28
759,729,244,867,51,10900,10900,4450,500,81,12.1,10219,70,57
484,384,177,634,78,7800,7800,2950,500,60,14.1,6864,64,9
7769,5689,2675,14931,2596,2160,6640,3226,450,95,12.2,11098,52, 
4777,3057,1823,9844,6198,2180,6540,3600,530,84,11.1,10207,31,16
808,594,218,756,502,9490,9490,3892,400,65,10.5,7678,66, 
4441,3260,2082,10264,2910,1801,4961,3149,500,66,19.1,5063,45, 
2920,2506,1682,7112,3832,1720,4720,2900,500,66,17.7,4745,52, 
495,434,210,775,44,8950,8950,3490,600,86,11.3,9685,66,35
1998,1376,651,1539,45,6700,6700,3650,500,52,14.1,7566,61,41
2020,1898,1092,4921,1338,1980,4572,2550,600,65,21.8,4466,36, 
4847,3518,1900,6567,261,1044,1044,1306,500,46,24.6,5034,58,27
2013,1053,212,912,158,5150,5150,3036,500,64,10.5,7547,59,33
2397,2144,1525,6720,1822,2262,3957,2325,618,66,20,4546,45,22
5996,4993,3079,16269,3757,2625,5925,2980,600,83,15.9,6741,37,29
675,645,500,2413,1477,1950,4990,1680,617,62,18.1,4287,35, 
2406,2139,1501,8158,3643,2362,5154,3116,800,75,17.9,5260,19, 
1891,1698,719,2740,761,11100,11100,5870,600,77,11.7,9456,53,24
2066,2031,1525,6020,1317,1966,3450,2310,650,69,21.1,3976,34, 
2963,2814,1840,8718,1707,1644,3804,1980,617,57,20.6,4092,21, 
2671,2671,1330,5742,1969,2040,4040,2216,500,67,29.5,4587,33, 
246,217,171,674,472,4400,4400, ,534,72,16.1,5053,73, 
3247,3247,2297,9724,2192,1910,3854,2230,250,61,24.3,3666,29, 
900,900,490,2911,1089,1451,3009, ,600,62,19.6,4355,35,10
7033,5125,1223,4941,1534,19040,19040,5950,350,98,9.1,16920,74,47
4299,4250,2664,11767,3219,1898,4898,2082,560,63,22.7,4099,30, 
2097,1915,695,2793,166,6900,6900,4200,617,67,14.4,8323,49,34
2431,2416,1711,7534,775,2028,3950,2982,600,50,15.9,5244,33,37
1420,1093,220,1018,287,8700,8700,4780,450,78,14.7,7355,69,9
4302,992,418,1593,5,19760,19760,5300,660,93,8.4,21424,100,83
350,283,82,367,406,10800,10800,4835,500,45,11.7,5982,82,9
2135,1700,491,1708,689,12000,12000,5920,500,93,13.8,7100,88,23
1981,1541,514,1927,1084,12500,12500,6200,375,73,16.8,8707,80,18
2007,1139,407,1680, ,16600,16600,6985,500,93,16.8,15286,94,30
3466,2330,640,3095,1533,13800,13800,5510,630,87,17.5,10941,82,20
1975,1516,712,2223,304,11550,11550,6990,400,15,10.2,9719,38, 
13112,6179,2154,8807, ,16640,16640,6960,500,95,16.6,10989,90,66
20192,13007,3810,14971,3113,18420,18420,6810,475,80,11.9,16836,72,45
443,330,151,453,42,14080,14080,6270,500,57,10.2,15387,46,5
4186,2743,740,2819,62,19380,19380,6750,410,90,9.8,17150,84,48
2887,2059,457,1928,296,17500,17500,4200,500,94,10.5,11951,79,30
245,208,125,544,436,11800,11800,4765,450,71,11.3,8952,86,23
2994,1691,659,2675,22,18000,18000,6300,400,92,11.3,12138,95,70
1224,936,283,891,332,13600,13600,5450,600,39,8.7,11992,58,5
516,409,200,1238,30,8770,8770,3500,450,58,17.3,6430,70,17
1849,1228,492,2025,169,15200,15200,7782,500, ,18,10602,62,19
1000,858,319,665,298,11455,11455,6130,400,33,12.3, , ,10
674,565,282,1151,39,12200,12200,4070,400,73,14.2,9226,66,25
13865,2165,1606,6862,320,18485,18485,6410,500,97,9.9,37219,100,90
618,540,171,470,59,11475,11475,6200,600,32,9.1,10066, ,8
244,198,82,1134,336,11700,11700,5300,550,71,27.8,8694,58,12
3986,3026,1093,5740,4182,4694,9838,4164,500,81,16.1,7607,53,8
6411,2140,1078,4481,28,20100,20100,5975,725,99,10.1,33541,94,96
4915,3340,1064,5356,1502,1408,5542,3991,500,73,17.1,4666,51,4
2857,2090,577,2879,1412,1408,5542,4030,450, ,14.7,4861,57,5
4141,2316,586,3248,1969,1380,5244,3366,500,68,21.2, , ,7
1563,1005,240,1380,136,1408,5542,4330,500,65,14.2,6562,57,1
3973,3168,1334,5625,3416,1408,5542,3514,375,55,21,4386,45, 
3100,2150,825,3234,941,1408,5542,3788,500,75,15.7,4222,65,3
2197,1515,543,3089,2029,2663,6797,3900,500,60,21,4469,40,4
1800,1314,526,1891,40,19300,19300,5700,750,79,9,18359,84,47
4750,4041,795,1501,334,9810,9810,6890,300,32,13.5,5025,77, 
780,702,218,707,693,9744,9744,5624,400,83,27.7, , ,6
11901,8492,2517,11160,10221,13380,13380,7425,600,73,12.9,9563,46,16
354,323,125,372,28,15190,15190,6480,400,46,8.9,14795,67, 
427,385,143,581,533,12700,12700,5800,450,81,10.3,11758,84,18
1003,782,295,1144,160,16160,16160,6950,500,74,8.9,14086,79,23
2925,1598,632,2479,95,18820,18820,6390,500,85,10.3,21199,90,51
3347,2597,1006,4664,1630,1836,6919,4500,500,74,15,7462,56,10
1888,1347,519,2160,131,9438,9438,4300, ,55,12.8, ,76, 
3646,2300,585,2022,926,12170,12170,6172,480,79,13,7495,97,25
1247,980,356,2207,814,10584,10584, ,500,95,13.3,9336,60,11
7614,3605,1205,4598, ,19701,19701,5968,600,99,10.3,18981,92,60
14438,12414,3816,16282,1940,2220,8566,3897,500,88,16.7,10276,68,12
2237,1495,800,6034,4954,2220,8568, ,560,86,14.5,10132,41,10
2895,1249,579,2195,156,18345,18345,5995,500,94,10.6,21409,91,80
1650,1471,409,1803,1116,8994,8994,5500,498,74,15.4,8409,59,7
1738,1373,417,1335,30,18460,18460,5970,700,92,13.2,22704,71,21
399,335,161,736,29,13472,13472,5528,400,74,9.6,12113,74, 
4186,1245,526,1988,29,19629,19629,5790,500,94,9,22014,99,81
2768,2314,682,2802,86,15884,15884,5370,530,92,15.2,10774,82,49
1342,998,309,1079, ,20655,20655,5475,375,79,11.4,14276,62,26
300,171,132,303,3,16900,16900,5620,400,76,8.2,13311,84, 
1480,1257,452,2961,572,9850,9850,6050,850,10,15.4,17858,64,6
100,90,35,282,331,8400,8400,2812,300,10,12.1,7976,52,10
1643,882,407,2179,1089,2141,4869,4075,600,57,22,7848,17, 
457,356,177,667,1983,11180,11180,5620,600,64,11.5,7477,75,35
1301,957,101,514,466,9500,9500,3450,700,47,13.9,9431,63,13
1478,723,381,1863,775,2600,5000,4540,500,69,16.3,7160, , 
2916,2167,911,4147,449,2431,5428,4390,700,78,17.8,5491,54, 
1151,813,248,850,80,15588,15588,6174,500,78,9.2,16623,77,40
699,565,176,710,399,13960,13960,6040,450,82,14.4,12434,72,36
8474,3446,911,3566,1569,18800,18800,6740,500,96,3.3,56233,90,75
4076,3137,738,3010,184,12990,12990,6300,600,86,14.7,9448,80,25
5892,3034,1358,4517,745,1794,4136,4640,550,80,18.2,6867,29,20
1321,1159,328,1243,79,12850,12850,6200,550,77,12.8,8536,80,15
4216,2290,736,4296,1027,2328,5130,4690,600,73,17.9,5125,56,20
323,278,122,393,4,16150,16150,5450,275,63,7.2,15622,64,31
1340,695,285,1315,209,4000,6800,4730,675,84,11.6,10357,63,42
6151,3837,1215,9247,3584,2166,5166,4480,660,76,17.6,5401,60, 
11522,1463,1181,4125, , , , , ,54,6.8,40020,94,50
14292,10315,3409,19340,3991,2919,8723,5146,550,89,18.1,9021,63,22
4269,2594,985,6476,2592,3338,8594,4408,494,82,18.4,7618,55,27
1600,1016,508,2067,199,2674,7014,3580,500,56,17.8,5191,35, 
823,347,237,1055,803,7400,7400, ,600,39,10.2,5287,72, 
1209,942,214,822,46,15276,15276,5318,500,79,11.2,10830,65,31
1205,984,278,1071,98,14510,14510,5340,500,84,12.5,10026,60,31
461,381,235,974,503,2700,6600,3630,400,67,15.2,6408,35,10
3461,1541,577,1599, ,25180,25180, ,650,79,9.8,16444,93,53
3356,1019,418,1490,8,19030,19030,5885,1495,93,11.2,20447,96,76
2848,1319,456,1720,35,18930,18930,5590,500,83,10.2,15954,91,58
1208,803,438,1906,344,2790,6810,3970,450,67,15.9,5712,59,20
225,168,104,467,174,1968,4800,3395,500,65,15,5632,38,5
723,652,361,951,706,7800,7800,4000,350,36,22,4923,84,10
1209,750,265,820,159,11450,11450,5045,900,72,11.4,9718,64,19
833,682,217,716,2196,9985,9985,5180,500,53,27.2,4322,85,12
356,312,139,388,412,8850,8850,4450,600,29,21.8,5001,75,18
5260,4589,1741,7366,1795,3085,7975,4385,500,93,14.5,7379,56,23
441,369,172,633,317,2700,6600,3680,600,46,15.1,5935,64,17
456,409,185,458,25,8750,9550,4750,400,45,11.4,6145,44, 
2335,1933,905,3556,2917,2880,8160,4219,500, ,14.6,7391, ,10
1428,1097,336,1036,99,11250,11250,3750,400,53,12.9,8735,54,22
1899,1720,489,1594,32,13868,13868,4826,450,89,13.7,11487,73,37
1267,1080,385,1306,28,12572,12572,4552,400,79,15.3,9305,68,44
1130,704,322,1586,326,9996,9996,3090,900,62,11.5,10908,46,14
619,516,219,1251,767,11208,11208,4124,350,55,12.7,6584,65,20
1784,1512,913,3401,136,10230,10230,3710,400,75,14.8,7786,81,29
7304,6263,2539,13244,1396,2725,6660,3836,600,66,20.4,6965,70, 
180,171,74,562,18,10430,10430,2960,400,55,11.6, ,84,19
260,195,139,235,307,5519,5519,2400,500,85,12.9,8336,16, 
6693,5423,2242,13142,6421,2482,6360,4031,600,74,20.6,5955,49, 
8671,5855,3395,8996,1901,3412,6911,4171,590,38,18.2,6467,57, 
5165,3887,1561,8234,2619,2422,6108,3800,500,64,20.6,5063,57,20
920,745,347,1133,42,11090,11090,4700,400,80,12,12639,79,35
1712,1483,624,2505,208,12275,12275,4341,465,72,12.5,9284,72,37
1224,1101,338,1218, ,16179,16179,5094,510,75,12.4,13207,74,55
867,695,312,2176,2063,6759,6759,2250,700,40,15.8,4727,45,28
440,391,231,1367,2662,5040,5040,4152,395,54,14.7,5518,57,13
 ,177,125,602,488,8094,8094,3960,566,51,10.6,5889,23,10
18114,15096,6180,26640,4120,4103,10658,3734,504,93,14,10520,71,23
2618,2288,1032,5524,414,3510,8127,3978,900,82,17,7473,65,42
1406,1169,522,2432,592,3312,6456,4186,500,47,19.9,4310,51,10
4519,3844,1432,6261,1634,2076,3880,3908,400,59,22,6886,51, 
3041,2581,1173,6441,3982,3123,9114,4030,400,88,19.7,6637,53,16
620,565,296,766,58,10500,10500,3500,550,53,16,6395,51, 
1549,1349,687,3598,2147,2674,5673,3650,550,77,18.2,5391,40, 
464,419,183,686,287,9240,9240,3880,475,29,7.2,9431,47,10
372,362,181,1501,353,8600,8600,3550,385,48,15.4,10938,49,15
927,731,415,2149,2217,11130,11130,3996,600,72,13.5,10891,51,24
1796,1303,882,3493,3116,3440,10116, ,466,80,18,6768,63,37
970,877,551,3105,2944,2916,9534, ,500,70,17.7,5955,64,23
4219,3098,1543,9778,10455,3271,7162,3271,468,85,10.9,10538,41, 
9167,7191,2738,15739,4278,2785,6940,4100,500,80,24.7,5983,55,24
1754,1754,1171,2805,1342,5760,5960, ,600,11,38.2,2589, , 
601,396,203,525,323,11230,11230,6643,2340,8,6.8,13025,47,1
1093,998,285,1650,5180,9450,9450,4385,600,33,91.8,5568,35,5
19152,12940,4893,22045,1339,5040,15732,4659,476,90,11.5,14847,87,66
662,513,257,2074,726,11902,11902,4372,540,65,12.8,7836,58,12
1208,877,546,3796,824,2133,4425,2700,660,57,19.6,3752,46,12
2694,1579,489,1870,12,19292,19292,3957,550,81,10.4,17960,91,75
938,864,511,1715,103,12247,12247,4221,500,70,13.1,8847,72,29
511,411,186,1692,562,12224,12224,4440,450,63,11.5,7315,77,23
672,596,278,1350,275,11844,11844,3696,450,54,11.6,8996,72,29
2057,1807,828,4106,982,11712,11712,4037,500,80,13.8,8546,89,26
2007,1808,829,2917,82,10110,10110,3165,450, ,13.4,8129,69,30
281,266,139,1049,181,10500,10500,3750,450,69,12.8,6955,45,13
1709,1385,634,2281,50,14125,14125,3600,400,79,12.5,9907,80,36
1006,825,328,1362,102,13252,13252,4194,450,89,13,10296,65,34
2939,1496,452,1723,113,15909,15909,4772,500,85,11.9,14213,77,56
3073,2672,1547,9649,1792,2600,4300,2643,450,57,19,5801,68,9
2442,2164,1189,5983,1075,2134,4426,2664,600,76,18.1,4795,60,12
699,601,352,1209,33,11328,11328,3003,400,45,14.5,9672, ,17
1047,938,511,2091,546,2285,4285,2750,600,58,16.5,6591,51,13
3971,3306,1921,11493,2206,2270,4259,2625,350,70,18.9,4629,58,10
933,800,444,1691,72,12247,12247,4081,500,76,12,9853,70,18
876,802,367,1263,118,10800,10800,3600,400,68,18.8,5081,78,14
2248,1673,745,2888,105,14350,14350,3750,550,82,10,12502,83,38
4192,3126,1656,5887,1254,2994,8828,3474,753,79,19,6393,53,15
1458,874,588,1846,154,3330,9843,3180,600,74,14.6,6716,51,56
3325,2047,1301,5800,872,2200,4200,2700,300,53,20.2,5318,58,20
11054,6397,3524,16502,21836,3171,8949,3744,714,88,12.2,16122,45,26
856,698,310,1617,102,11050,11050,4000, ,60,12.1,10324,68, 
373,298,86,651,490,8950,8950,3800,500,57,10.6,6639,54,14
633,504,210,920,148,7780,7780,3370,600,50,15.1,6850,49,11
4681,4101,1436,8094,1596,2310,4620,3288,300,69,19.7,5501,50,10
314,158,132,690,5346,8294,8294,3700,400,87,15.3,5015,37,10
1576,1110,274,992,112,8000,8000,3700,400,51,14.1,5807,51,24
700,650,314,1065,48,8730,8730,3523,500,82,13.2,9303,67,33
291,245,126,981,337,8390,8390,4100,350,45,21.5,4607,62,16
639,427,182,527,32,6572,6572, ,1510, ,9.4,10396,58, 
1400,1396,688,2019,1287,1800,3600,2728, ,36,14.4,5363, ,5
810,484,356,2155,191,9200,9200,4800,1000,65,24.1,3480,100,6
549,397,169,1343,1751,9250,9250,4550,425,52,13.1,5925,61,26
1576,1326,913,3689,2200,1920,3840,2852,200,52,20.3,4172,100,13
1310,983,316,1057,175,8550,8550,5050,400,35,17.4,4333,27,5
1887,1870,848,3615,1446,1998,3900,2611,500,54,19,4602,40,8
6040,4577,1620,5640,266,2704,4856,3416,400,69,15.7,6601,76,36
2729,2535,1257,4787,472,2130,3735,3136,250,62,21.7,5284,54,8
270,225,65,3440,4103,3750,3750,3900,700,39,18.4,3019,49,15
935,858,345,1127,754,9490,9490,4100,500,60,10.7,7519,79,22
3258,338,326,1277,195, , ,1900,600,53,14.3,9192,87,9
2281,1870,1408,6553,1246,2550,4680,3540,200,75,17.1,5916,45,18
1093,1093,642,1770,967,7070,7070,2500,400,52,15.9,4718,71,12
6118,5254,3204,13131,3374,2370,4740,2590,500,70,19.9,4632,56,15
3294,2855,956,4576,1140,11690,11690,4730,800,84,4.6,18367,67,44
450,405,194,614,388,13900,13900,5200,450,46,10.9,9995,59,17
6574,4637,2940,14782,1583,3030,9057,3485,600,87,12.7,10145,58,32
1877,1826,823,3926,561,3030,9057,3600,700,88,14.4,9699,49,49
1901,1340,655,3416,1984,3475,9501,3685, ,98,11.6,12453,44,33
1618,1141,479,4793,4552,2424,7246,3964,500,71,13.4,6433,48,18
7654,5259,1254,4879,1274,18350,18350,5775,768,91,3.9,45702,90,62
665,462,226,1739,1550,9160,9160,4340,500,68,20.6,6951,48,17
662,553,184,665,37,10720,10720,4050,600,66,12.5,7925,62,20
663,547,315,1279,75,10060,10060,2970,500,74,11.2,7885,59,32
469,435,227,851,120,10535,10535,4365,550,39,12.9,7438,52,17
308, ,110,606,1142,5780,5780,2650, ,52,17.9,3493,32,5
233,201,169,493,382,6050,6050,2510,500,38,11.9,5736, ,10
2928,1853,481,2326,235,4474,6616, ,600,45,14.1,3913,35, 
248,197,121,736,347,7600,7600,2805,600,60,15.8,5160, ,24
75,75,47,263,127,3660,3660,2090,500,33,11.3,5478,66, 
967,945,459,2806,538,1812,4528,1880,500,49,17.1,5113,58,15
4799,3278,1561,4786,669,2230,4190,2446,300,60,15.4,6358,41, 
905,834,319,1073,179,11320,11320,4402,550,82,12.7,11218,58,32
594,385,307,1695,721,5580,5580,2830,600,77,16.5,6170,61,36
480,405,380,1673,1014,2244,4386,2217,600,49,15.8,5704,63,19
4255,3277,1609,10094,1621,4946,9866,3084,480,77,15.9,6223,53,18
2800,1090,580,2124,199,2164,4306,2100,275,43,18.6,4955,56,10
1328,673,282,1006,174,4000,4000,2048,225,44,19.6,5103,49,25
3280,578,311,1120,33,5010,5010,2570,500,53,14.5,6481,53,18
3844,3383,1669,7524,804,1996,4916,3810,600,81,20.3,6971,53,26
2850,2044,1046,9260,1387,2392,4652,2470,500,78,18.7,5917,45,20
200,165,121,1538,419,5115,5115,2520,300,36,13.6,6986,19, 
529,492,261,1093,322,8650,8650,3815,390,49,14.1,5862,58,29
394,394,268,700,537,5100,5100,1880,400,50,11.8,4957, , 
931,912,596,2482,868,2142,5866,3300,600,70,18.5,5105,40,7
572,544,320,1470,416,2013,6073,3400,550,71,16.4,6112,74,45
3500,2836,1779,8730,993,1576,5552,3710,550,75,17.6,6324,37,15
840,840,611,1169,403,3542,5879,3570,550,20,10.6,6674, ,8
560,392,270,743,118,8734,8734,3362,600,56,11.3,6422,68,11
3314,2809,1563,7754,1388,2251,6311,3957,550,75,21.7,5862,30, 
376,256,256,816,1070,1935,5658,3000,475,50,16.4,4489,59, 
4809,3089,1429,6162,871,740,6806,1780,600,72,16.7,7090,44,12
7313,4664,1910,9940,1035,740,6806,2540,96,83,18.3,5854,70,20
1757,979,394,2033,1078,608,5972,3420,600,77,13,7011,37,32
771,643,229,1135,505,7420,7420,3440,500,55,13.7,5930,67,14
933,933,480,704, ,4045,4045,2795,736,50,13.5,4431,34,6
632,494,129,709,131,9000,9000,4850,300,78,13.2,7550,52,17
774,542,193,650,14,5600,5600,3095,750,63,12.1, ,44,17
2087,1339,657,3191,1204,7550,7550,2790,600,77,21.8,3739,63,20
1083,880,291,915,80,9270,9270,4100,600,75,13.5,8425,55,13
2373,956,452,1601,6,17295,17295,5070,600,95,12,17581,94,77
13789,3893,1583,6188,53,18590,18590,5950,625,95,5,27206,97,90
9274,6362,2435,13171,1687,764,7248,3240,500,74,13.2,9002,58,14
1531,827,405,1630,143,556,5030,2648,170,68,14.1,8994,51,12
3624,2786,858,2933,334,9100,9100,3883,490,70,18.9,6329,63,11
1455,1064,452,2632,617,740,6806,2550,350,75,15.1,6972,24,1
1110,930,332,1603,374,8180,8180,4270,500,65,15.2,5664,29,18
608,494,176,649,314,8330,8330,3770,550,64,13,7949,39,10
1202,1054,326,1410,299,13404,13404,5160,450,78,15.6,9114,65,18
1412,1149,347,2045,359,7550,7550,4050,600,55,17.8,4947,62,11
1349,932,407,1236,47,5453,5453,2191,500,61,14.2, ,37,6
545,529,216,620,37,3807, ,1560,200,50,13.2,6795, ,4
979,743,259,1188,166,10100,10100,4000,400,88,12,8539,66,25
900,473,217,621,11,4400,4400,3400,800,53,10.4,9268,92,22
1056,873,385,1111,244,6950,6950,3550,600,60,11.9,6786,69,15
857,772,376,1721,470,6720,6720,3250,450,77,13.9,6881,82,25
750,633,296,926,367,8850,8850,3550,500,73,11.4, ,56,27
263,223,103,316,20,8438,8438,3372,500,42,11.1,11989,15,10
1773,1320,559,3531,808,676,5730,3136, ,66,15.4,7302,40,8
812,689,195,646,84,8242,8242,4230,600,77,12.7,10090,52,7
944,774,440,2174,529,628,6360,2760,550,77,15,6443,48,14
838,651,159,654,162,8640,8640,3700,400,62,12.2,7634,48,11
516,392,154,630,549,11020,11020,4970,610,73,14,9315,58,32
335,284,132,534,216,10475,10475,6300,500,68,11.2,9599,60,28
2533,937,620,2360,144,9192,9192,1738,250,71,14.4,8078,69, 
624,599,170,612,150,10375,10375,4575,500,79,13.8,9332,56, 
3113,1786,457,1614,131,3850,3850,3200, ,43,14, ,56,24
10634,7064,3176,16505,5481,874,8400,6540,600,92,17.5,9670,62,39
14596,5985,3331,14609,1100,874,8400,4200,550,88,8.9,15893,83,75
5803,4441,1730,10099,3255,764,7248,3109,600,79,16.8,6227,62,19
5191,4134,1500,7532,1847,931,8677,3505,600,75,15.5,7392,53,15
5661,2392,903,3499,172,13850,13850,4360,500,95,4.3,41766,89,75
440,311,112,466,7,10000,10000,3052,400,65,11.4,9430,63,25
3224,2519,1057,5000,706,718,6390,2380,110,67,14.6,6554,55,11
6071,3856,1449,6635,1145,1492,7558,3680,500,82,19.1,6005,55,15
1239,1017,383,1207,157,7820,7820,3400,550,69,13.9,7264,91,10
1065,801,385,2069,748,1254,6272,2762,300,67,13.5,8064,46, 
434,412,319,1376,237,1681,4486,2146,600,50,16.5,4525,46,10
472,410,262,9950,71,7620,7620,3050,400,51,17,3186,54,14
659,601,342,1476,282,6490,6490,2660,500,26,18,4460,48,12
233,233,153,658,58,1680,4486,2516,600,68,15.7,6971,51,5
681,681,681,3299,602,1711,4260,1912,600,44,20.1,4076, , 
2777,2249,1652,8334,1435,2110,5634,2703,450,97,15.9,9424,49,20
368,344,212,863,189,1606,4286,2570,600,39,14.9,4958,40,5
2968,2297,1610,7368,1128,2310,5834,2744,600,79,17,6310,42,13
1024,1024,547,1830,490,1575,2670,2668,500,62,25,4895,80,5
305,230,107,503,801,9000,9000,3500,400,23,8.9,6696,47,16
440,434,252,764,38,7896,7896,3270,450,54,11.1,7589,80,22
2967,2836,876,3450,644,10628,10628,4372,650,85,6.5,22906,85,30
504,482,185,550,84,9130,9130,3322,450,46,12.6,8686,54,10
793,709,244,1022,411,9570,9570,3000,400,67,15.1,6852,60,20
817,708,262,935,37,9376,9376,3272,500,57,13,7335,52,22
2837,2697,1417,5764,1176,1665,2550,2630,450,59,19,4393,55, 
627,585,260,908,109,10300,10300,2970, ,42,14.5,6383,56,20
2704,2537,1766,6518,5560,1687,4560, ,600,77,19.7, ,19, 
969,762,382,1442,263,9540,9540,3320,500,82,13.5,7561, ,23
701,501,458,959,457,1432,2580,2624,500,48,20.1,4870,44,10
355,304,168,447,111,8760,8760,2690,550,48,8.5,9416,48, 
6277,6003,3526,16454,3171,2055,5595,3145,500,86,15.1,6813,53,33
1373,1373,724,2754,474,1500,2700,2660,540,60,20.3,4550,52,6
132,132,112,1032,943,3150,3150, ,500,66,17.6,6705, , 
910,776,208,618,40,14090,14090,5395,400, ,12.9,10802,72, 
8587,2273,1087,3918,32,19545,19545,6070,550,95,4.7,29619,98,87
5187,4471,446,1818,1197,13320,13320,4630,500,50,17.6,6418,51,3
951,879,199,744,196,13325,13325,5335, ,42,9.5,10164,59,5
1498,1275,292,1557,2973,10608,10608,4740,400,34,38.4,5523,76, 
379,324,107,500,311,9990,9990,4900,400,44,12.1,4948,33,15
484,386,141,590,1196,9870,9870,4860,600,59,12.2,6744,81,6
2095,1553,514,1873,94,12950,12950,5400,450,70,14.5,6719,97,15
9750,7640,2529,10358,1338,3550,11180,3862,650,89,17.5,7855,75,24
3121,2446,822,3480,776,2590,7870,4157,500,73,16.1,6195,61,5
3321,2375,748,3483,374,2590,7870,4024,550,82,18.8,5708, ,10
585,508,153,460,536,12292,12292,4934,500,61,22.2,8643,72,12
35,35,22,59, ,7200,7200,5200,600,80,11.8,8100,60, 
1694,1408,268,1312,685,8300,8300,4350,500,53,14.4,7003,38, 
1011,604,213,693,868,8900,8900,4600,425,87,13.9,7922,55,17
369,312,90,396,526,11400,11400,5400,500,41,9.5,9583,24,12
444,359,122,493,968,10900,10900,5250,380,68,11.4,9447,78,34
2153,1580,321,1192,87,18432,18432,5616,520,93,10.2,14907,83,56
348,281,127,1095,785,9150,9150,3950,500,56,12.2,7348,76,12
3820,1431,695,5303,3942,2342,4356,4830,800,76,22.1,7252,51,21
420,280,155,505,640,8100,8100, ,500,66,11.2,8008, ,6
2957,1423,691,3817,1394,2798,3946,4800,400,63,14.9,8367,26,10
2707,1881,478,1893,847,12480,12480,5290,530,70,14.2,9492,54,14
5220,2128,865,6411,3186,2400,3648,4834,700,82,21.5,6717,58,19
1879,1216,483,3311,1646,4188,8832,5376,700,92,13.5,12529,72,27
3344,2322,1105,6804,3933,1965,2875,3840,600,76,17.2,6001,40,6
5485,2662,1108,5938,2298,2385,3135,4170,300,77,23.5,6391,38,9
13218,2042,1153,4540,146,19900,19900,5910,675,91,8.4,28320,99,90
3586,2424,730,2748,1309,13250,13250,5420,700,84,12.3,11299,70,16
5785,2690,499,4005,1886,3640,7410,4748,690,90,17.4,11878,58,26
4576,3565,1000,4384,1530,12000,12000,6484,650,81,14.4,10080,64,16
1606,1413,530,1921,1154,9408,9408,5520,500,78,12.1,7669,53,23
1768,1249,380,1263,11,16900,16900,5680,450,89,19,12837,79,51
5042,2312,944,5167,902,3116,5391,5411,700,81,14.4,8504,81,55
1540,1363,446,950,214,12500,12500,5260,700,72,14, ,43, 
3366,1752,232,2585,1300,3641,7411,4748,690,90,18.6,10134,57,27
48094,26330,4520,21401,3712,3640,7410,4748,690,90,19.5,10474,77,36
3148,1616,504,3553,3152,11010,11010,5400,623,77,16.7,9637,60,9
2088,957,362,2745,1938,3227,4449,4860,600,74,17.8,7333,47,6
4019,1579,710,4365,765,2288,3040,4351,711,78,19.5,5599,64,23
285,246,126,411, ,17430,17430,5720,275,73,9.8,14342,61,20
546,447,189,873,683,11138,11138,4138,600,40,14,8820,80,16
77,61,27,352,147,3120,3120,3382,400,24,14.3,3190,20,7
1256,1220,590,2762,587,1518,5586,2600,500,73,19.6,5658,34, 
777,649,406,1630,384,1392,5148,2380,400,72,17.4,7664,28,5
787,601,233,1017,411,1302,5376,3214,600,99,13.7,9241,34,40
4119,3200,1663,9673,3481,1980,6432,3148,550,76,19.6,6106,40, 
1054,1054,470,1495,521,1394,4652,2260,500,55,15.5, ,47,5
3871,3349,1891,12257,5264,1884,7115,3516,584,91,14.3,8209,34,27
2868,2409,1524,5916,2939,1740,6490,4560,600,78,15.4,10407,54, 
 ,2786,1595,7969,8008,1740,6490,4952,700,76,14.8,8139,37,25
200,160,100,300,50,7500,7500,4500,500,45,7.5, ,29,5
2186,1924,512,2683,1227,12280,12280,6450,750,29,12.2,10527,56,16
1011,829,410,1059,2458,9000,9000,3100,450,77,12.4,11178,42,9
1732,1425,472,1830,110,16548,16548,5406,500,82,11.3,10932,73,37
1910,838,285,1004,15,19264,19264,6206,750,98,10.4,13894,79,50
2853,2193,753,2978,434,10750,10750,5340,400,90,14.6,7972,64,16
